ref,sku_bw,designation,machines_db,machines_hub,present_hub,fournisseur,ref_fournisseur,prix_catalogue
BW-0375,oui,BAR2 – Spring breaker,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,110445,AS*
BW-0376,oui,BAR2 – UVC out,BAR2 Double portion control,BAR2 Double,oui,Blupura,810618,AS*
BW-0377,oui,BAR2 – SPRK button 7mm,BAR2 Double portion control,BAR2 Double,oui,Blupura,810697,AS*
BW-0378,oui,BAR2 – STLL button 7mm,BAR2 Double portion control,BAR2 Double,oui,Blupura,810698,AS*
BW-0379,oui,BAR2 -  STLL button 10mm,BAR2 Double portion control,BAR2 Double,oui,Blupura,810696,AS*
BW-0380,oui,BAR2 – SPRK button 10mm,BAR2 Double portion control,BAR2 Double,oui,Blupura,810695,AS*
BW-0381,oui,BAR2 – Solenoid valve,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,150356,AS*
BW-0382,oui,BAR2 – Cap ring nut,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,110274,AS*
BW-0383,oui,BAR2 – LED holder,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,140251,AS*
BW-0384,oui,BAR2 – Exit valves bracket,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,111011,AS*
BW-0385,oui,Flow compensator 8mm,BAR2 Double portion control,BAR2 Double,oui,Blupura,140194,AS*
BW-0386,oui,BAR2 – Rear casing,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,110974,AS*
BW-0387,oui,BAR2 -  LED feeder,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,810134,AS*
BW-0388,oui,BAR2 – Die-cut evilene protection,BAR2 Double portion control,BAR2 Double,oui,Blupura,160674,AS*
BW-0389,oui,BAR2 – UV LED control board,BAR2 Double portion control,BAR2 Double,oui,Blupura,150708,AS*
BW-0390,oui,BAR2 – UV board support bracket,BAR2 Double portion control,BAR2 Double,oui,Blupura,111420,AS*
BW-0391,oui,Screwless cable tie,BAR2 Double portion control; BAR2 touchless; BOX 150,BOX 150; BAR2 Double; BAR2 Touchless,oui,Blupura,150011,AS*
BW-0396,oui,BAR2 - Touchfree button,(non renseigne),BAR2 Touchless,oui,Blupura,150146,AS*
BW-0397,oui,BAR2 - STLL touchfree,BAR2 touchless,BAR2 Touchless,oui,Blupura,810602,AS*
BW-0398,oui,BAR2 - SPRK touchfree,BAR2 touchless,BAR2 Touchless,oui,Blupura,810601,AS*
BW-0399,oui,BAR2 - Front glass (touchless),(non renseigne),BAR2 Touchless,oui,Blupura,140846,AS*
BW-0400,oui,BAR2 - Nut cover nozzle,BAR2 touchless,BAR2 Touchless,oui,Blupura,110274,AS*
BW-0401,oui,BAR2 - Rear carter (touchless),(non renseigne),BAR2 Touchless,oui,Blupura,111110,AS*
BW-0402,oui,BAR2 - Solenoid bracket,(non renseigne),BAR2 Touchless,oui,Blupura,111137,AS*
BW-0403,oui,BAR2 - Inverter UV,(non renseigne),BAR2 Touchless,oui,Blupura,150205,AS*
BW-0404,oui,BAR2 - Touchfree button switch,BAR2 touchless,BAR2 Touchless,oui,Blupura,150250,AS*
BW-0405,oui,BAR2 - Touchfree sensor,BAR2 touchless,BAR2 Touchless,oui,Blupura,150788,AS*
BW-0406,oui,BAR2 - BTG protection,BAR2 touchless,BAR2 Touchless,oui,Blupura,160674,AS*
BW-0408,oui,BAR2 - Transformer,(non renseigne),BAR2 Touchless,oui,Blupura,150071,AS*
BW-0409,oui,BAR2 - Inverter 3UV,BAR2 touchless,BAR2 Touchless,oui,Blupura,150204,AS*
BW-0416,oui,Bracket for Immersion Pump,BOX 150; BOX 80,BOX 80; BOX 150,oui,Blupura,110264,AS*
BW-0417,oui,Motor for pump 100L/h,BOX 80,BOX 80,oui,Blupura,130048A,AS*
BW-0418,oui,Carbonator bracket,BOX 150; BOX 80,BOX 80; BOX 150,oui,Blupura,110103,AS*
BW-0419,oui,Cover box 80,BOX 80,BOX 80,oui,Blupura,110138,AS*
BW-0420,oui,Casing box 80,BOX 80,BOX 80,oui,Blupura,110137,AS*
BW-0421,oui,Foot pvc,BOX 80,BOX 80,oui,Blupura,140118,AS*
BW-0422,oui,Front panel,BOX 80,BOX 80,oui,Blupura,810646,AS*
BW-0423,oui,Power cord,BOX 80,BOX 80,oui,Blupura,150087,AS*
BW-0424,oui,Bulkhead 8 mm,BOX 80,BOX 80,oui,Blupura,140099,AS*
BW-0425,oui,Iec socket,BOX 80,BOX 80,oui,Blupura,150094,AS*
BW-0426,oui,General power switch,BOX 80,BOX 80,oui,Blupura,150072,AS*
BW-0427,oui,Plastic plug,BOX 150; BOX 80,BOX 80; BOX 150,oui,Blupura,150051,AS*
BW-0428,oui,Spring type cable grand,BOX 150; BOX 80,BOX 80; BOX 150,oui,Blupura,150052,AS*
BW-0429,oui,Ice bank overflow kit,BOX 150; BOX 80,BOX 80; BOX 150,oui,Blupura,750019,AS*
BW-0430,oui,BOX 15 - Base,BOX 15,BOX 15,oui,Blupura,140511,AS*
BW-0431,oui,BOX 15 - Front paneL,BOX 15,BOX 15,oui,Blupura,810645,AS*
BW-0432,oui,Bulkhead 1/4 mm,BOX 15,BOX 15,oui,Blupura,140296,AS*
BW-0433,oui,BOX 15 - Bore cap,BOX 15,BOX 15,oui,Blupura,140845,AS*
BW-0434,oui,BOX 15 - Main support,BOX 15,BOX 15,oui,Blupura,140512,AS*
BW-0435,oui,BOX 15 - Left panel,BOX 15,BOX 15,oui,Blupura,140561,AS*
BW-0436,oui,BOX 15 - Top cover,BOX 15,BOX 15,oui,Blupura,110954,AS*
BW-0437,oui,BOX 15 - Tank support,BOX 15,BOX 15,oui,Blupura,140528,AS*
BW-0438,oui,BOX 15 - Back panel,BOX 15,BOX 15,oui,Blupura,140521,AS*
BW-0439,oui,Power switch,BOX 15; BOX 150,BOX 150; BOX 15,oui,Blupura,150157,AS*
BW-0440,oui,BOX 15 - Right panel,BOX 15,BOX 15,oui,Blupura,140562,AS*
BW-0441,oui,BOX 150 - Thermostat bracket,BOX 150,BOX 150,oui,Blupura,110048,AS*
BW-0442,oui,BOX 150 - Small cover,BOX 150,BOX 150,oui,Blupura,110053,AS*
BW-0443,oui,BOX 150 - Inlet water pressure reducer,BOX 150,BOX 150,oui,Blupura,800042,AS*
BW-0444,oui,BOX 150 - Interm plate,BOX 150,BOX 150,oui,Blupura,110040,AS*
BW-0445,oui,BOX 150 - Large cover,BOX 150,BOX 150,oui,Blupura,110052,AS*
BW-0446,oui,BOX 150 - Condenser,BOX 150,BOX 150,oui,Blupura,120014,AS*
BW-0447,oui,BOX 150 - Rear panel,BOX 150,BOX 150,oui,Blupura,110051,AS*
BW-0448,oui,BOX 150 - Condenser support,BOX 150,BOX 150,oui,Blupura,110044,AS*
BW-0449,oui,BOX 150 - Compressor,BOX 150,BOX 150,oui,Blupura,120001,AS*
BW-0450,oui,BOX 150 - Bracket,BOX 150,BOX 150,oui,Blupura,110020,AS*
BW-0451,oui,Brass pump 200L/h,BOX 150,BOX 150,oui,Blupura,130006,135
BW-0452,oui,BOX 150 - Bracket for valve,BOX 150,BOX 150,oui,Blupura,110015A,AS*
BW-0453,oui,BOX 150 - Carbonator bowl bracket,BOX 150,BOX 150,oui,Blupura,110013,AS*
BW-0454,oui,BOX 150 - SS dual coil,BOX 150,BOX 150,oui,Blupura,120032,AS*
BW-0455,oui,BOX 150 - Evaporator,BOX 150,BOX 150,oui,Blupura,120033,AS*
BW-0456,oui,BOX 150 - Tank cooler,BOX 150,BOX 150,oui,Blupura,140004,AS*
BW-0457,oui,EC150 Power cable,BOX 150,BOX 150,oui,Blupura,150082,AS*
BW-0458,oui,BOX 150 - Base,BOX 150,BOX 150,oui,Blupura,110037,AS*
BW-0459,oui,BOX 150 - Inox shell,BOX 150,BOX 150,oui,Blupura,110049,AS*
BW-0461,oui,"Straight adaptor, 3/8 x 1/4 BSP",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462313,AS*
BW-0462,oui,"Reducer, 3/8 -5/16",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462374,AS*
BW-0463,oui,5/16 LLDPE tube,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462014,AS*
BW-0464,oui,1/4  LLDPE tube,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462013,AS*
BW-0465,oui,BOX 30 - Can wrap insulation - A,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,635512,AS*
BW-0466,oui,"Single check valve, 1/4",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462668,AS*
BW-0467,oui,3/8 LLDPE tube,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462012,AS*
BW-0468,oui,"Bulkhead connector, 1/4",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462325,AS*
BW-0469,oui,BOX 30 - Lid - A,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,632032,AS*
BW-0470,oui,BOX 30 - Flow control - A,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,637325,AS*
BW-0471,oui,"Stem adaptator, 3/8 OD x 1/4 BSP",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462364,AS*
BW-0472,oui,"Equal Tee, 1/4",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462318,AS*
BW-0473,oui,"Stem Elbow, 3/8-1/4",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462359,AS*
BW-0475,oui,"Single check valve, 5/16",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462667,AS*
BW-0476,oui,Equal elbow 5/16,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462376,AS*
BW-0477,oui,Reducing elbow 3/8 x 1/4,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462327,AS*
