n,zone,section,groupe,document,ligne_index_html,equivalent_hub,detail_equivalent,langue,url
11,Bibliothèque,Installation,Kits,Kit Mullex,1555,OUI,fiche portail « KIT MULLEX »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDStsAz7zjcSZCMs971DvRmAQDonp92pWTwWexoYC-pGdY?e=3vZ22H
12,Bibliothèque,Installation,Kits,"Be Connect (schéma, pannes & infos)",1556,OUI,"fiche portail « BE CONNECT (schéma, pannes et informations) »",FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBqgqc4Gw26TJtn9G9ypuTHAX7RyzE8C5Yb2VZHHDggIdA?e=SeI1GH
12,Bibliothèque,Installation,Kits,"Be Connect (schéma, pannes & infos)",1556,OUI,"fiche portail « BE CONNECT (schéma, pannes et informations) »",EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQB6olLsckpUSYMEbG6DfXArAUSkwEV3wvEZVCtxRx1aIaY?e=379lv0
12,Bibliothèque,Installation,Kits,"Be Connect (schéma, pannes & infos)",1556,OUI,"fiche portail « BE CONNECT (schéma, pannes et informations) »",DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBzmZeP03SIRqhuSV-Rm0OXAZPSc7l63nStrVewYW3WMmg?e=cKeSla
13,Bibliothèque,Installation,Kits,BOX 80 — Kit de ventilation,1557,OUI,fiche portail « BOX 80 - kit de ventilation »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBOo8a_UoI8R5sImeuqGab1AYrJgVT8LknH-MnrIXoCa1c?e=cXfB70
13,Bibliothèque,Installation,Kits,BOX 80 — Kit de ventilation,1557,OUI,fiche portail « BOX 80 - kit de ventilation »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDV0E3-CfifSIu6LnNruqLhAeJIqkgX1-gucFaTDhyyZHY?e=VVceif
13,Bibliothèque,Installation,Kits,BOX 80 — Kit de ventilation,1557,OUI,fiche portail « BOX 80 - kit de ventilation »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCH18JNAt4pTZ4Ls1abytC1AeqNGXMTbV9opsxGavFGYyE?e=rpq6m1
14,Bibliothèque,Maintenance,Maintenance & mise en service,Faire une maintenance (avec Be Connect),1558,OUI,fiche portail « Faire une maintenance (avec BE CONNECT) »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQD39TnJ2kZdS6Z-da7b2PL0AVQ72M97HAxRDjUh1NkFYM4?e=y7FGcK
14,Bibliothèque,Maintenance,Maintenance & mise en service,Faire une maintenance (avec Be Connect),1558,OUI,fiche portail « Faire une maintenance (avec BE CONNECT) »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCoInktpzP4QoylXkEQVz1bAUD0ydhDRWIWOPwgwb7sF2s?e=UzTpep
14,Bibliothèque,Maintenance,Maintenance & mise en service,Faire une maintenance (avec Be Connect),1558,OUI,fiche portail « Faire une maintenance (avec BE CONNECT) »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDnM_HieEJgR6AyHXg0GXQ7AXNGouVNZsH7TTmlq5Vimj8?e=FbAvQ1
15,Bibliothèque,Dépannage,Gearbox (technique),Montage Air System,1559,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDXBsAdiXKMR4MW8P-ofOvFAaXoN1E-xXCcoKZ9-EHMZFQ?e=lrtfVX
15,Bibliothèque,Dépannage,Gearbox (technique),Montage Air System,1559,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDXBsAdiXKMR4MW8P-ofOvFAaXoN1E-xXCcoKZ9-EHMZFQ?e=lrtfVX
15,Bibliothèque,Dépannage,Gearbox (technique),Montage Air System,1559,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDXBsAdiXKMR4MW8P-ofOvFAaXoN1E-xXCcoKZ9-EHMZFQ?e=lrtfVX
16,Bibliothèque,Dépannage,Gearbox (technique),Remplacement Gearbox,1560,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBI_RXvMB73TKFhn0yplFV_AX-Afn5ZZYP46gnRskr7_HI?e=vPtMMM
16,Bibliothèque,Dépannage,Gearbox (technique),Remplacement Gearbox,1560,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCbKzC8Y8nJSIiASMXu77bwAZ2f-dKNH7t6xrbKMt7q8DI?e=hs934Q
16,Bibliothèque,Dépannage,Gearbox (technique),Remplacement Gearbox,1560,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAMsG1dmiskRY3TPrnP8rCRAVYUpK5iGPK1Fsz65tv9Myw?e=ki8h5s
17,Bibliothèque,Dépannage,Gearbox (technique),Remplacement joints,1561,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCM42vFgvXJTJoTnGoEXC6kAScKTUIBPYPPKoufImxyJwk?e=yTEKAm
17,Bibliothèque,Dépannage,Gearbox (technique),Remplacement joints,1561,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBkvhImrg9dSp79VD3oIXnHAaOGKHbqWdsX0fsxqsuxNx0?e=rbi94P
17,Bibliothèque,Dépannage,Gearbox (technique),Remplacement joints,1561,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQD_tiHvn0vYS5ZmyTce0wXdATTeJsopbdwnXE2lSWZBx70?e=gsSPma
