sku_bw,designation,machines,fournisseur,ref_fournisseur,designation_fournisseur,prix_catalogue,devise,remise
BW-0441,BOX 150 - Thermostat bracket,BOX 150,Blupura,110048,,,,
BW-0442,BOX 150 - Small cover,BOX 150,Blupura,110053,,,,
BW-0443,BOX 150 - Inlet water pressure reducer,BOX 150,Blupura,800042,,,,
BW-0444,BOX 150 - Interm plate,BOX 150,Blupura,110040,,,,
BW-0445,BOX 150 - Large cover,BOX 150,Blupura,110052,,,,
BW-0446,BOX 150 - Condenser,BOX 150,Blupura,120014,,,,
BW-0447,BOX 150 - Rear panel,BOX 150,Blupura,110051,,,,
BW-0448,BOX 150 - Condenser support,BOX 150,Blupura,110044,,,,
BW-0449,BOX 150 - Compressor,BOX 150,Blupura,120001,,,,
BW-0450,BOX 150 - Bracket,BOX 150,Blupura,110020,,,,
BW-0451,Brass pump 200L/h,BOX 150,Blupura,130006,,135.0,CHF,
BW-0452,BOX 150 - Bracket for valve,BOX 150,Blupura,110015A,,,,
BW-0453,BOX 150 - Carbonator bowl bracket,BOX 150,Blupura,110013,,,,
BW-0454,BOX 150 - SS dual coil,BOX 150,Blupura,120032,,,,
BW-0455,BOX 150 - Evaporator,BOX 150,Blupura,120033,,,,
BW-0456,BOX 150 - Tank cooler,BOX 150,Blupura,140004,,,,
BW-0457,EC150 Power cable,BOX 150,Blupura,150082,,,,
BW-0458,BOX 150 - Base,BOX 150,Blupura,110037,,,,
BW-0459,BOX 150 - Inox shell,BOX 150,Blupura,110049,,,,
BW-0461,"Straight adaptor, 3/8 x 1/4 BSP",BOX 30 (2021),Borg&Overström,462313,,,,
BW-0462,"Reducer, 3/8 -5/16",BOX 30 (2021),Borg&Overström,462374,,,,
BW-0463,5/16 LLDPE tube,BOX 30 (2021),Borg&Overström,462014,,,,
BW-0464,1/4  LLDPE tube,BOX 30 (2021),Borg&Overström,462013,,,,
BW-0465,BOX 30 - Can wrap insulation - A,BOX 30 (2021),Borg&Overström,635512,,,,
BW-0466,"Single check valve, 1/4",BOX 30 (2021),Borg&Overström,462668,,,,
BW-0467,3/8 LLDPE tube,BOX 30 (2021),Borg&Overström,462012,,,,
BW-0468,"Bulkhead connector, 1/4",BOX 30 (2021),Borg&Overström,462325,,,,
BW-0469,BOX 30 - Lid - A,BOX 30 (2021),Borg&Overström,632032,,,,
BW-0470,BOX 30 - Flow control - A,BOX 30 (2021),Borg&Overström,637325,,,,
BW-0471,"Stem adaptator, 3/8 OD x 1/4 BSP",BOX 30 (2021),Borg&Overström,462364,,,,
BW-0472,"Equal Tee, 1/4",BOX 30 (2021),Borg&Overström,462318,,,,
BW-0473,"Stem Elbow, 3/8-1/4",BOX 30 (2021),Borg&Overström,462359,,,,
BW-0475,"Single check valve, 5/16",BOX 30 (2021),Borg&Overström,462667,,,,
BW-0476,Equal elbow 5/16,BOX 30 (2021),Borg&Overström,462376,,,,
BW-0477,Reducing elbow 3/8 x 1/4,BOX 30 (2021),Borg&Overström,462327,,,,
BW-0478,"Equal Elbow 3/8""",BOX 30 (2021),Borg&Overström,462362,,,,
BW-0479,BOX 30 - Swan Neck Faucet Connection Harness -A,BOX 30 (2021),Borg&Overström,172180,,,,
BW-0480,"Stem Elbow, 3/8-1/4",BOX 30 (2021),Borg&Overström,462369,,,,
BW-0481,"Reducing Straight Connector, 5/16-1/4",BOX 30 (2021),Borg&Overström,462874,,,,
BW-0482,"Stem elbow, 5/16-5/16",BOX 30 (2021),Borg&Overström,462384,,,,
BW-0483,"Stem elbow, 1/4-1/4",BOX 30 (2021),Borg&Overström,462368,,,,
BW-0484,"Stem Elbow, 3/8-3/8",BOX 30 (2021),Borg&Overström,462371,,,,
BW-0485,BOX 30 Front wrap - A,BOX 30 (2021),Borg&Overström,632031,,,,
BW-0493,PRO2 - Top cover panel,PRO2,Borg&Overström,123187,,,,
BW-0494,PRO2 - Pressure release valve for carbonation tank,PRO2,Borg&Overström,134612,,,,
BW-0495,PRO2 - Single check valve,PRO2,Borg&Overström,132445,,,,
BW-0496,PRO2 - Grit filter,PRO2,Borg&Overström,194121,,,,
BW-0497,PRO2 - 2-port drainage outlet,PRO2,Borg&Overström,131426,,,,
BW-0498,PRO2 - Electric rocker switch,PRO2,Borg&Overström,174321,,,,
BW-0499,PRO2 - IEC Fused socket,PRO2,Borg&Overström,172163,,,,
BW-0500,PRO2 - Pump 35L/h 24VDC,PRO2,Borg&Overström,174372,,280.0,CHF,
BW-0501,PRO2 - Left Side Panel inc handle,PRO2,Borg&Overström,121850,,,,
BW-0502,PRO2 - Compressor,PRO2,Borg&Overström,174313,,,,
BW-0503,PRO2 - Main PCB Case Assembly,PRO2,Borg&Overström,171268,,,,
BW-0504,PRO2 - Faucet 4 Outlets,PRO2,Borg&Overström,133514,,,,
BW-0505,PRO2 - Faucet Shroud,PRO2,Borg&Overström,183246,,,,
BW-0506,PRO2 - Front panel Black,PRO2,Borg&Overström,120802,,,,
BW-0507,PRO2 - Drip Tray Set without drainage black,PRO2,Borg&Overström,125840,,,,
